Number,Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status,Last Known
1201-04-,Adams,United States,US-Washington,46.206,-121.49,3742,Stratovolcano,Tephrochronology,D6
0804-16=,Agrigan,United States,Mariana Is-C Pacific,18.77,145.67,965,Stratovolcano,Historical,D2
0804-141,Ahyi,United States,Mariana Is-C Pacific,20.42,145.03,-137,Submarine volcano,Uncertain,U
1101-32-,Akutan,United States,Aleutian Is,54.13,-165.97,1303,Stratovolcano,Historical,D1
0804-18=,Alamagan,United States,Mariana Is-C Pacific,17.6,145.83,744,Stratovolcano,Radiocarbon,D6
1101-39-,Amak,United States,Aleutian Is,55.42,-163.15,513,Stratovolcano,Historical,D4
1203-20-,Amboy,United States,US-California,34.55,-115.78,288,Cinder cone,Holocene,U
1101-19-,Amukta,United States,Aleutian Is,52.5,-171.25,1066,Stratovolcano,Historical,D1
0804-20=,Anatahan,United States,Mariana Is-C Pacific,16.35,145.67,788,Stratovolcano,Holocene,U
1102-09-,Aniakchak,United States,Alaska Peninsula,56.88,-158.17,1341,Caldera,Historical,D2
0804-15=,Asuncion,United States,Mariana Is-C Pacific,19.67,145.4,857,Stratovolcano,Historical,D2
1101-16-,Atka,United States,Aleutian Is,52.38,-174.15,1533,Stratovolcano,Historical,D1
1103-01-,Augustine,United States,Alaska-SW,59.37,-153.42,1252,Lava dome,Historical,D1
1202-09-,Bachelor,United States,US-Oregon,43.979,-121.688,2763,Stratovolcano,Tephrochronology,D7
1201-01=,Baker,United States,US-Washington,48.786,-121.82,3285,Stratovolcano,Historical,D3
1207-03-,Bald Knoll,United States,US-Utah,37.328,-112.408,2135,Cinder cone,Holocene,Unknown
0500-02-,Baluan,United States,Admiralty Is-SW Paci,-2.57,147.28,254,Stratovolcano,Holocene,U
1105-07-,Behm Canal-Rudyerd Bay,United States,Alaska-SE,55.32,-131.05,500,Cinder cone,Holocene,Unknown
1202-06-,Belknap,United States,US-Oregon,44.285,-121.841,2095,Shield volcano,Radiocarbon,D6
1203-04-,Big Cave,United States,US-California,40.955,-121.365,1259,Shield volcano,Holocene,Unknown
1102-08-,Black Peak,United States,Alaska Peninsula,56.53,-158.8,1032,Stratovolcano,Radiocarbon,D7
1207-05-,Black Rock Desert,United States,US-Utah,38.97,-112.5,1800,Volcanic field,Radiocarbon,D6
1202-03-,Blue Lake Crater,United States,US-Oregon,44.42,-121.77,1230,Maar,Radiocarbon,D7
1101-10-,Bobrof,United States,Aleutian Is,51.9,-177.43,738,Stratovolcano,Holocene,Unknown
1101-30-,Bogoslof,United States,Aleutian Is,53.93,-168.03,101,Submarine volcano,Historical,D1
1105-03-,Bona-Churchill,United States,Alaska-E,61.38,-141.75,5005,Stratovolcano,Radiocarbon,D6
1203-03-,Brushy Butte,United States,US-California,41.178,-121.443,1174,Shield volcano,Holocene,Unknown
1101-01-,Buldir,United States,Aleutian Is,52.37,175.98,656,Stratovolcano,Holocene,U
1105-001,Buzzard Creek,United States,Alaska-E,64.07,-148.42,830,Tuff rings,Radiocarbon,D7
1101-23-,Carlisle,United States,Aleutian Is,52.9,-170.05,1620,Stratovolcano,Historical,D3
1210-01-,Carrizozo,United States,US-New Mexico,33.78,-105.93,1731,Cinder cone,Holocene,U
1101-20-,Chagulak,United States,Aleutian Is,52.57,-171.13,1142,Stratovolcano,Holocene,U
1102-11-,Chiginagak,United States,Alaska Peninsula,57.13,-157,2075,Stratovolcano,Historical,D1
1202-15-,Cinnamon Butte,United States,US-Oregon,43.241,-122.108,1956,Cinder cone,Holocene,Unknown
1203-10-,Clear Lake,United States,US-California,38.97,-122.77,1439,Volcanic field,Holocene,U
1101-24-,Cleveland,United States,Aleutian Is,52.82,-169.95,1730,Stratovolcano,Historical,D1
1203-18-,Coso Volc Field,United States,US-California,36.03,-117.82,2400,Lava dome,Holocene,Unknown
1202-16-,Crater Lake,United States,US-Oregon,42.93,-122.12,2487,Caldera,Radiocarbon,D7
1204-02-,Craters of the Moon,United States,US-Idaho,43.42,-113.5,2005,Cinder cone,Radiocarbon,D7
1102-05-,Dana,United States,Alaska Peninsula,55.62,-161.22,1354,Stratovolcano,Radiocarbon,D7
1101-04-,Davidof,United States,Aleutian Is,51.97,178.33,328,Stratovolcano,Holocene,Unknown
1202-10-,Davis Lake,United States,US-Oregon,43.57,-121.82,2163,Volcanic field,Radiocarbon,D7
1102-21-,Denison,United States,Alaska Peninsula,58.42,-154.45,2318,Stratovolcano,Uncertain,Unknown
1202-12-,Devils Garden,United States,US-Oregon,43.512,-120.861,1698,Volcanic field,Holocene,Unknown
1202-17-,Diamond Craters,United States,US-Oregon,43.1,-118.75,1435,Volcanic field,Holocene,Unknown
1208-01-,Dotsero,United States,US-Colorado,39.65,-107.03,2230,Maar,Radiocarbon,D7
1102-27-,Douglas,United States,Alaska Peninsula,58.87,-153.55,2140,Stratovolcano,Fumarolic,U
1105-05-,Duncan Canal,United States,Alaska-SE,56.5,-133.1,15,Unknown,Holocene,U
1102-011,Dutton,United States,Alaska Peninsula,55.18,-162.27,1506,Stratovolcano,Holocene,U
1203-09-,Eagle Lake Field,United States,US-California,40.63,-120.83,1652,Fissure vent,Holocene,Unknown
1105-04-,Edgecumbe,United States,Alaska-SE,57.05,-135.75,976,Stratovolcano,Radiocarbon,D7
1102-02-,Emmons Lake,United States,Alaska Peninsula,55.33,-162.07,1465,Caldera,Holocene,U
0804-21=,Esmeralda Bank,United States,Mariana Is-C Pacific,15,145.25,-43,Submarine volcano,Fumarolic,U
1104-01-,Espenberg,United States,Alaska-W,66.35,-164.33,243,Volcanic field,Tephrochronology,D7
0804-14=,Farallon de Pajaros,United States,Mariana Is-C Pacific,20.53,144.9,360,Stratovolcano,Historical,D1
1101-35-,Fisher,United States,Aleutian Is,54.67,-164.35,1094,Stratovolcano,Historical,D3
0804-22-,Forecast Seamount,United States,Mariana Is-C Pacific,13.4,143.917,,Submarine volcano,Fumarolic,U
1202-14-,Four Craters Lava Field,United States,US-Oregon,43.361,-120.669,1501,Volcanic field,Holocene,Unknown
1102-26-,Fourpeaked,United States,Alaska Peninsula,58.77,-153.68,2104,Stratovolcano,Uncertain,Unknown
1102-01-,Frosty,United States,Alaska Peninsula,55.07,-162.82,1920,Stratovolcano,Holocene,U
1101-07-,Gareloi,United States,Aleutian Is,51.78,-178.8,1573,Stratovolcano,Historical,D1
1201-02-,Glacier Peak,United States,US-Washington,48.112,-121.113,3213,Stratovolcano,Tephrochronology,D4
1203-17-,Golden Trout Creek,United States,US-California,36.358,-118.32,2886,Volcanic field,Tephrochronology,D7
1105-021,Gordon,United States,Alaska-E,62.13,-143.08,2755,Cinder cone,Holocene,U
1101-12-,Great Sitkin,United States,Aleutian Is,52.08,-176.13,1740,Stratovolcano,Historical,D1
1102-19-,Griggs,United States,Alaska Peninsula,58.35,-155.1,2317,Stratovolcano,Holocene,U
0804-19=,Guguan,United States,Mariana Is-C Pacific,17.32,145.85,287,Stratovolcano,Historical,D3
1302-06-,Haleakala,United States,Hawaiian Is,20.708,-156.25,3055,Shield volcano,Historical,D4
1103-05-,Hayes,United States,Alaska-SW,61.62,-152.48,2788,Stratovolcano,Radiocarbon,D6
1204-04-,Hell's Half Acre,United States,US-Idaho,43.5,-112.45,1631,Shield volcano,Radiocarbon,D7
1101-22-,Herbert,United States,Aleutian Is,52.75,-170.12,1290,Stratovolcano,Holocene,U
1202-01-,Hood,United States,US-Oregon,45.374,-121.694,3426,Stratovolcano,Historical,D3
1302-04-,Hualalai,United States,Hawaiian Is,19.692,-155.87,2523,Shield volcano,Historical,D3
1103-02-,Iliamna,United States,Alaska-SW,60.03,-153.08,3053,Stratovolcano,Historical,D2
1104-02-,Imuruk Lake,United States,Alaska-W,65.6,-163.92,610,Shield volcano,Radiocarbon,D6
1201-07-,Indian Heaven,United States,US-Washington,45.93,-121.82,1513,Shield volcano,Radiocarbon,D7
1104-05-,Ingakslugwat Hills,United States,Alaska-W,61.43,-164.47,190,Cinder cone,Holocene,U
1203-13-,Inyo Craters,United States,US-California,37.692,-119.02,2629,Lava dome,Radiocarbon,D6
1101-37-,Isanotski,United States,Aleutian Is,54.75,-163.73,2446,Stratovolcano,Historical,D3
1202-02-,Jefferson,United States,US-Oregon,44.692,-121.8,3199,Stratovolcano,Varve Count,D6
1202-19-,Jordan Craters,United States,US-Oregon,43.03,-117.42,1473,Volcanic field,Holocene,U
1101-26-,Kagamil,United States,Aleutian Is,52.97,-169.72,893,Stratovolcano,Historical,D2
1102-25-,Kaguyak,United States,Alaska Peninsula,58.62,-154.05,901,Stratovolcano,Holocene,D7
1101-11-,Kanaga,United States,Aleutian Is,51.92,-177.17,1307,Stratovolcano,Historical,D1
1101-13-,Kasatochi,United States,Aleutian Is,52.18,-175.5,314,Stratovolcano,Historical,D1
1102-17-,Katmai,United States,Alaska Peninsula,58.27,-154.98,2047,Stratovolcano,Historical,D2
1102-12-,Kialagvik,United States,Alaska Peninsula,57.38,-156.75,1575,Stratovolcano,Holocene,U
1302-01-,Kilauea,United States,Hawaiian Is,19.425,-155.292,1222,Shield volcano,Historical,D1
1101-02-,Kiska,United States,Aleutian Is,52.1,177.6,1220,Stratovolcano,Historical,D1
1101-14-,Koniuji,United States,Aleutian Is,52.22,-175.13,272,Stratovolcano,Uncertain,Unknown
1104-03-,Kookooligit Mountains,United States,Alaska-W,63.6,-170.43,673,Shield volcano,Holocene,U
1102-23-,Kukak,United States,Alaska Peninsula,58.47,-154.35,2040,Stratovolcano,Fumarolic,U
1102-06-,Kupreanof,United States,Alaska Peninsula,56.02,-159.8,1895,Stratovolcano,Historical,D1
1203-08-,Lassen Volc Center,United States,US-California,40.492,-121.508,3187,Stratovolcano,Historical,D2
1203-19-,Lavic Lake,United States,US-California,34.75,-116.625,1495,Volcanic field,Holocene,U
1101-05-,Little Sitkin,United States,Aleutian Is,51.95,178.53,1188,Stratovolcano,Historical,D3
1302-00-,Loihi,United States,Hawaiian Is,18.92,-155.27,-975,Submarine volcano,Historical,D1
1102-15-,Mageik,United States,Alaska Peninsula,58.2,-155.25,2165,Stratovolcano,Historical,D2
1101-31-,Makushin,United States,Aleutian Is,53.9,-166.93,2036,Stratovolcano,Historical,D1
1207-04-,Markagunt Plateau,United States,US-Utah,37.58,-112.67,2840,Volcanic field,Dendrochronology,D6
1102-14-,Martin,United States,Alaska Peninsula,58.17,-155.35,1860,Stratovolcano,Historical,D2
0804-143,Maug Islands,United States,Mariana Is-C Pacific,20.017,145.217,227,Stratovolcano,Fumarolic,U
1302-03-,Mauna Kea,United States,Hawaiian Is,19.82,-155.47,4206,Shield volcano,Radiocarbon,D7
1302-02=,Mauna Loa,United States,Hawaiian Is,19.475,-155.608,4170,Shield volcano,Historical,D1
1203-02-,Medicine Lake,United States,US-California,41.58,-121.57,2412,Shield volcano,Radiocarbon,D6
1101-111,Moffett,United States,Aleutian Is,51.93,-176.75,1196,Stratovolcano,Holocene,U
1203-12-,Mono Craters,United States,US-California,37.88,-119,2796,Lava dome,Radiocarbon,D6
1203-11-,Mono Lake Volc Field,United States,US-California,38,-119.03,2121,Cinder cone,Tephrochronology,D4
0804-211,NW Rota-1,United States,Mariana Is-C Pacific,14.601,144.775,-517,Submarine volcano,Historical,D1
1202-11-,Newberry Volcano,United States,US-Oregon,43.722,-121.229,2434,Shield volcano,Radiocarbon,D6
1202-07-,North Sister Field,United States,US-Oregon,44.17,-121.77,3074,Complex volcano,Radiocarbon,D6
1102-18-,Novarupta,United States,Alaska Peninsula,58.27,-155.16,841,Caldera,Historical,D2
1104-06-,Nunivak Island,United States,Alaska-W,60.02,-166.33,511,Shield volcano,Holocene,U
0404-01=,Ofu-Olosega,United States,Samoa-SW Pacific,-14.175,-169.618,639,Shield volcano,Historical,D3
1101-29-,Okmok,United States,Aleutian Is,53.42,-168.13,1073,Shield volcano,Historical,D1
0804-17=,Pagan,United States,Mariana Is-C Pacific,18.13,145.8,570,Stratovolcano,Historical,D1
1102-03-,Pavlof,United States,Alaska Peninsula,55.42,-161.9,2519,Stratovolcano,Historical,D1
1102-04-,Pavlof Sister,United States,Alaska Peninsula,55.45,-161.87,2142,Stratovolcano,Historical,D4
1201-03-,Rainier,United States,US-Washington,46.87,-121.758,4392,Stratovolcano,Dendrochronology,D3
1101-28-,Recheschnoi,United States,Aleutian Is,53.15,-168.55,1984,Stratovolcano,Holocene,U
1203-15-,Red Cones,United States,US-California,37.58,-119.05,2748,Cinder cone,Holocene,U
1103-03-,Redoubt,United States,Alaska-SW,60.48,-152.75,3108,Stratovolcano,Historical,D1
1101-38-,Roundtop,United States,Aleutian Is,54.8,-163.6,1871,Stratovolcano,Holocene,U
0804-201,Ruby,United States,Mariana Is-C Pacific,15.62,145.57,-230,Submarine volcano,Historical,D1
0804-202,Ruby,United States,Mariana Is-C Pacific,15.617,145.567,-230,Submarine volcano,Historical,D2
1202-04-,Sand Mountain Field,United States,US-Oregon,44.38,-121.93,1664,Cinder cone,Radiocarbon,D7
1105-01-,Sanford,United States,Alaska-E,62.22,-144.13,4949,Shield volcano,Holocene,Unknown
1207-01-,Santa Clara,United States,US-Utah,37.257,-113.625,1465,Volcanic field,Holocene,U
0804-192,Sarigan,United States,Mariana Is-C Pacific,16.708,145.783,538,Stratovolcano,Holocene,U
0804-191,Sarigan,United States,Mariana Is-C Pacific,16.708,145.78,538,Stratovolcano,Holocene,U
0804-23-,Seamount X,United States,Mariana Is-C Pacific,13.25,144.017,-1230,Submarine volcano,Fumarolic,U
1101-18-,Seguam,United States,Aleutian Is,52.32,-172.52,1054,Stratovolcano,Historical,D1
1101-03-,Segula,United States,Aleutian Is,52.02,178.13,1153,Stratovolcano,Holocene,U
1101-06-,Semisopochnoi,United States,Aleutian Is,51.95,179.62,1221,Stratovolcano,Historical,D1
1101-15-,Sergief,United States,Aleutian Is,52.03,-174.93,560,Stratovolcano,Uncertain,Unknown
1203-01-,Shasta,United States,US-California,41.42,-122.2,4317,Stratovolcano,Historical,D4
1101-36-,Shishaldin,United States,Aleutian Is,54.75,-163.97,2857,Stratovolcano,Historical,D1
1204-01-,Shoshone Lava Field,United States,US-Idaho,43.07,-114.43,1525,Cinder cone,Holocene,Unknown
1102-20-,Snowy,United States,Alaska Peninsula,58.33,-154.68,2161,Stratovolcano,Fumarolic,U
1202-08-,South Sister,United States,US-Oregon,44.1,-121.77,3157,Complex volcano,Radiocarbon,D7
1103-04-,Spurr,United States,Alaska-SW,61.3,-152.25,3374,Stratovolcano,Historical,D1
1202-13-,Squaw Ridge Field,United States,US-Oregon,43.472,-120.754,1711,Volcanic field,Holocene,Unknown
1201-05-,St. Helens,United States,US-Washington,46.2,-122.18,2549,Stratovolcano,Historical,D1
1104-04-,St. Michael,United States,Alaska-W,63.45,-162.12,715,Shield volcano,Anthropology,U
1206-01-,Steamboat Springs,United States,US-Nevada,39.375,-119.72,1415,Lava dome,Pleistocene-Fumarol,Q
1102-22-,Steller,United States,Alaska Peninsula,58.43,-154.4,2272,Unknown,Uncertain,Unknown
1102-052,Stepovak Bay 3,United States,Alaska Peninsula,55.929,-160.002,1555,Cinder cone,Holocene?,?
1102-053,Stepovak Bay 4,United States,Alaska Peninsula,55.954,-159.954,1557,Stratovolcano,Pleistocene,P
1209-02-,Sunset Crater,United States,US-Arizona,35.37,-111.5,2447,Cinder cone,Dendrochronology,D6
0804-142,Supply Reef,United States,Mariana Is-C Pacific,20.13,145.1,-8,Submarine volcano,Hydrophonic,D1
0404-001,Ta'u,United States,Samoa-SW Pacific,-14.23,-169.454,931,Shield volcano,Holocene,U
1101-09-,Takawangha,United States,Aleutian Is,51.87,-178.02,1449,Stratovolcano,Holocene,U
1101-241,Tana,United States,Aleutian Is,52.833,-169.767,1170,Stratovolcanoes,Holocene,U
1101-08-,Tanaga,United States,Aleutian Is,51.88,-178.13,1806,Stratovolcano,Historical,D2
1105-06-,Tlevak Strait-Suemez Is.,United States,Alaska-SE,55.25,-133.3,50,Volcanic field,Holocene,U
1102-16-,Trident,United States,Alaska Peninsula,58.23,-155.08,1864,Stratovolcano,Historical,D1
1203-06-,Tumble Buttes,United States,US-California,40.68,-121.55,2191,Cinder cone,Holocene,Unknown
1203-05-,Twin Buttes,United States,US-California,40.78,-121.6,1631,Cinder cone,Holocene,Unknown
1203-16-,Ubehebe Craters,United States,US-California,37.02,-117.45,752,Maar,Holocene,U
1102-13-,Ugashik-Peulik,United States,Alaska Peninsula,57.75,-156.37,1474,Stratovolcano,Historical,D3
1209-01-,Uinkaret Field,United States,US-Arizona,36.38,-113.13,1555,Volcanic field,Holocene,U
1102-131,Ukinrek Maars,United States,Alaska Peninsula,57.83,-156.52,91,Maar,Historical,D1
1101-25-,Uliaga,United States,Aleutian Is,53.07,-169.77,888,Stratovolcano,Holocene,Unknown
1102-051,Unnamed,United States,Alaska Peninsula,55.93,-160,1555,Cinder cone,Holocene,U
0804-136,Unnamed,United States,Mariana Is-C Pacific,20.3,143.2,0,Submarine volcano,Uncertain,Unknown
1102-132,Unnamed,United States,Alaska Peninsula,57.87,-155.42,300,Lava dome,Holocene,U
0500-03-,Unnamed,United States,Admiralty Is-SW Paci,-3.03,147.78,-1300,Submarine volcano,Hydrophonic,D1
0404-00-,Unnamed,United States,Samoa-SW Pacific,-14.23,-169.07,-650,Submarine volcano,Uncertain,Unknown
0804-135,Unnamed,United States,Mariana Is-C Pacific,21,142.9,0,Submarine volcano,Uncertain,Unknown
1302-08-,Unnamed,United States,Hawaiian Is,21.75,-158.75,-3000,Submarine volcano,Uncertain,Unknown
1302-09-,Unnamed,United States,Hawaiian Is,23.58,-163.83,-4000,Submarine volcano,Historical,D2
0804-139,Unnamed,United States,Mariana Is-C Pacific,20.3,143.2,,Submarine volcano?,Uncertain,?
1101-17-,Unnamed,United States,Aleutian Is,52,-173.5,0,Submarine volcano,Hydrophonic,D1
0804-138,Unnamed,United States,Mariana Is-C Pacific,21,142.9,,Submarine volcano?,Uncertain,?
1102-07-,Veniaminof,United States,Alaska Peninsula,56.17,-159.38,2507,Stratovolcano,Historical,D1
1101-27-,Vsevidof,United States,Aleutian Is,53.13,-168.68,2149,Stratovolcano,Historical,D3
1204-03-,Wapi Lava Field,United States,US-Idaho,42.88,-113.22,1604,Shield volcano,Radiocarbon,D7
1201-06-,West Crater,United States,US-Washington,45.88,-122.08,1329,Volcanic field,Radiocarbon,D7
1101-34-,Westdahl,United States,Aleutian Is,54.52,-164.65,1654,Stratovolcano,Historical,D1
1105-02-,Wrangell,United States,Alaska-E,62,-144.02,4317,Shield volcano,Historical,D2
1102-10-,Yantarni,United States,Alaska Peninsula,57.02,-157.18,1336,Stratovolcano,Tephrochronology,D7
1205-01-,Yellowstone,United States,US-Wyoming,44.43,-110.67,2805,Caldera,Tephrochronology,D7
1101-21-,Yunaska,United States,Aleutian Is,52.63,-170.63,550,Shield volcano,Historical,D2
1210-02-,Zuni-Bandera,United States,US-New Mexico,34.8,-108,2550,Volcanic field,Anthropology,D7
